pid,stim,gaze,target,compat,isi,rt,acc
PO2,arrow,right,right,compat,800,1.192,1
PO2,arrow,left,right,incomp,800,1.03,1
PO2,stim4,left,right,incomp,400,0.631,1
PO2,arrow,right,left,incomp,400,0.604,1
PO2,arrow,left,left,compat,800,0.504,1
PO2,arrow,left,right,incomp,400,0.681,1
PO2,stim4,right,right,compat,800,0.867,0
PO2,arrow,left,right,incomp,400,0.693,1
PO2,arrow,right,left,incomp,400,0.534,1
PO2,arrow,right,right,compat,400,1.5,1
PO2,stim2,left,left,compat,800,1.126,1
PO2,arrow,right,right,compat,400,0.636,1
PO2,arrow,left,right,incomp,400,0.623,1
PO2,stim6,left,right,incomp,800,0.748,0
PO2,arrow,right,right,compat,800,0.917,1
PO2,stim3,right,left,incomp,800,1.413,1
PO2,stim1,right,left,incomp,800,0.578,1
PO2,arrow,left,left,compat,400,1.159,1
PO2,stim3,left,right,incomp,800,0.509,1
PO2,arrow,right,left,incomp,800,0.623,1
PO2,arrow,left,right,incomp,800,0.635,1
PO2,stim8,left,left,compat,800,0.75,1
PO2,arrow,right,right,compat,800,0.646,1
PO2,stim5,left,right,incomp,400,0.809,1
PO2,arrow,left,left,compat,400,0.805,1
PO2,arrow,left,right,incomp,800,0.642,1
PO2,arrow,left,right,incomp,800,0.557,1
PO2,stim3,right,left,incomp,400,0.627,1
PO2,arrow,left,left,compat,400,0.447,1
PO2,stim5,left,left,compat,400,0.602,1
PO2,arrow,left,left,compat,400,0.502,1
PO2,arrow,right,right,compat,800,0.48,1
PO2,stim2,left,right,incomp,800,0.732,1
PO2,stim1,left,left,compat,800,0.42,1
PO2,stim2,right,right,compat,400,1.096,1
PO2,stim1,right,right,compat,400,0.633,1
PO2,stim8,right,left,incomp,400,0.731,1
PO2,stim6,left,left,compat,400,0.691,1
PO2,stim5,right,right,compat,400,0.565,1
PO2,stim5,right,left,incomp,400,1.059,1
PO2,arrow,right,left,incomp,800,0.421,1
PO2,stim1,right,right,compat,800,0.521,1
PO2,arrow,right,left,incomp,800,0.514,1
PO2,stim4,left,right,incomp,800,0.604,1
PO2,arrow,left,right,incomp,400,0.728,0
PO2,arrow,left,left,compat,800,0.503,1
PO2,stim6,right,right,compat,400,0.528,1
PO2,stim5,right,left,incomp,800,0.488,1
PO2,arrow,left,right,incomp,800,0.546,1
PO2,stim8,left,right,incomp,400,0.809,1
PO2,arrow,left,left,compat,400,0.405,1
PO2,stim4,left,left,compat,800,0.57,1
PO2,arrow,right,left,incomp,400,0.52,1
PO2,stim6,right,right,compat,800,0.528,1
PO2,stim3,right,right,compat,800,0.816,1
PO2,arrow,right,right,compat,400,0.42,1
PO2,arrow,left,left,compat,400,0.575,1
PO2,stim2,right,left,incomp,800,0.669,1
PO2,stim6,left,right,incomp,400,0.759,0
PO2,arrow,right,left,incomp,400,0.734,1
PO2,stim7,left,left,compat,800,0.621,1
PO2,stim4,left,left,compat,400,0.769,1
PO2,stim7,right,left,incomp,400,0.575,1
PO2,arrow,right,right,compat,800,0.508,1
PO2,stim7,right,right,compat,800,0.484,1
PO2,arrow,right,left,incomp,800,0.598,1
PO2,arrow,left,left,compat,800,0.548,1
PO2,arrow,left,left,compat,800,0.516,1
PO2,arrow,right,left,incomp,800,0.516,1
PO2,stim5,right,right,compat,800,0.5,1
PO2,arrow,right,right,compat,800,0.958,1
PO2,stim4,right,right,compat,400,0.443,1
PO2,stim3,left,left,compat,800,0.463,0
PO2,arrow,right,left,incomp,400,0.673,1
PO2,arrow,left,left,compat,800,0.507,1
PO2,stim8,left,left,compat,400,0.62,1
PO2,arrow,right,right,compat,800,0.424,1
PO2,arrow,right,right,compat,400,0.596,1
PO2,stim3,right,right,compat,400,0.921,1
PO2,stim5,left,left,compat,800,0.609,1
PO2,stim7,right,left,incomp,800,0.558,1
PO2,arrow,right,left,incomp,800,0.421,1
PO2,arrow,left,right,incomp,800,0.625,1
PO2,stim7,right,right,compat,400,0.533,1
PO2,arrow,right,right,compat,400,0.772,1
PO2,stim7,left,right,incomp,800,0.41,1
PO2,stim1,right,left,incomp,400,0.726,1
PO2,stim4,right,left,incomp,400,0.518,1
