pid,stim,stimd,compat,compatd,rt,c,cs
2,arrow,-0.5,compat,-0.5,1192,579.1264468747505,2.961075023057069
2,arrow,-0.5,incomp,0.5,1030,417.1264468747505,2.132768603407423
2,gaze,0.5,incomp,0.5,631,18.126446874750513,0.09268056982588951
2,arrow,-0.5,incomp,0.5,604,-8.873553125249487,-0.04537050011571804
2,arrow,-0.5,compat,-0.5,504,-108.87355312524949,-0.556670759158709
2,arrow,-0.5,incomp,0.5,681,68.12644687475051,0.348330699347385
2,arrow,-0.5,incomp,0.5,693,80.12644687475051,0.4096867304325439
2,arrow,-0.5,incomp,0.5,534,-78.87355312524949,-0.4032806814458117
2,arrow,-0.5,compat,-0.5,1500,887.1264468747505,4.53587982090948
2,gaze,0.5,compat,-0.5,1126,513.1264468747505,2.6236168520886944
2,arrow,-0.5,compat,-0.5,636,23.126446874750513,0.11824558277803905
2,arrow,-0.5,incomp,0.5,623,10.126446874750513,0.051776549102450234
2,arrow,-0.5,compat,-0.5,917,304.1264468747505,1.5549993106888436
2,gaze,0.5,incomp,0.5,1413,800.1264468747505,4.091048595542079
2,gaze,0.5,incomp,0.5,578,-34.87355312524949,-0.1783085674668957
2,arrow,-0.5,compat,-0.5,1159,546.1264468747505,2.7923459375728816
2,gaze,0.5,incomp,0.5,509,-103.87355312524949,-0.5311057462065595
2,arrow,-0.5,incomp,0.5,623,10.126446874750513,0.051776549102450234
2,arrow,-0.5,incomp,0.5,635,22.126446874750513,0.11313258018760915
2,gaze,0.5,compat,-0.5,750,137.1264468747505,0.7011278780870487
2,arrow,-0.5,compat,-0.5,646,33.12644687475051,0.16937560868233814
2,gaze,0.5,incomp,0.5,809,196.1264468747505,1.0027950309224134
2,arrow,-0.5,compat,-0.5,805,192.1264468747505,0.9823430205606938
2,arrow,-0.5,incomp,0.5,642,29.126446874750513,0.14892359832061852
2,arrow,-0.5,incomp,0.5,557,-55.87355312524949,-0.2856816218659238
2,gaze,0.5,incomp,0.5,627,14.126446874750513,0.07222855946416987
2,arrow,-0.5,compat,-0.5,447,-165.8735531252495,-0.8481119068132138
2,gaze,0.5,compat,-0.5,602,-10.873553125249487,-0.055596505296577864
2,arrow,-0.5,compat,-0.5,502,-110.87355312524949,-0.5668967643395688
2,arrow,-0.5,compat,-0.5,480,-132.8735531252495,-0.6793828213290268
2,gaze,0.5,incomp,0.5,732,119.12644687475051,0.6090938314593104
2,gaze,0.5,compat,-0.5,420,-192.8735531252495,-0.9861629767548213
2,gaze,0.5,compat,-0.5,1096,483.1264468747505,2.4702267743757975
2,gaze,0.5,compat,-0.5,633,20.126446874750513,0.10290657500674932
2,gaze,0.5,incomp,0.5,731,118.12644687475051,0.6039808288688805
2,gaze,0.5,compat,-0.5,691,78.12644687475051,0.3994607252516841
2,gaze,0.5,compat,-0.5,565,-47.87355312524949,-0.2447776011424845
2,gaze,0.5,incomp,0.5,1059,446.1264468747505,2.2810456785298907
2,arrow,-0.5,incomp,0.5,421,-191.8735531252495,-0.9810499741643914
2,gaze,0.5,compat,-0.5,521,-91.87355312524949,-0.4697497151214005
2,arrow,-0.5,incomp,0.5,514,-98.87355312524949,-0.5055407332544098
2,gaze,0.5,incomp,0.5,604,-8.873553125249487,-0.04537050011571804
2,arrow,-0.5,compat,-0.5,503,-109.87355312524949,-0.5617837617491389
2,gaze,0.5,compat,-0.5,528,-84.87355312524949,-0.4339586969883912
2,gaze,0.5,incomp,0.5,488,-124.87355312524949,-0.6384788006055875
2,arrow,-0.5,incomp,0.5,546,-66.87355312524949,-0.3419246503606528
2,gaze,0.5,incomp,0.5,809,196.1264468747505,1.0027950309224134
2,arrow,-0.5,compat,-0.5,405,-207.8735531252495,-1.06285801561127
2,gaze,0.5,compat,-0.5,570,-42.87355312524949,-0.21921258819033496
2,arrow,-0.5,incomp,0.5,520,-92.87355312524949,-0.4748627177118304
2,gaze,0.5,compat,-0.5,528,-84.87355312524949,-0.4339586969883912
2,gaze,0.5,compat,-0.5,816,203.1264468747505,1.0385860490554228
2,arrow,-0.5,compat,-0.5,420,-192.8735531252495,-0.9861629767548213
2,arrow,-0.5,compat,-0.5,575,-37.87355312524949,-0.1936475752381854
2,gaze,0.5,incomp,0.5,669,56.12644687475051,0.28697466826222606
2,arrow,-0.5,incomp,0.5,734,121.12644687475051,0.6193198366401702
2,gaze,0.5,compat,-0.5,621,8.126446874750513,0.04155054392159042
2,gaze,0.5,compat,-0.5,769,156.1264468747505,0.798274927305217
2,gaze,0.5,incomp,0.5,575,-37.87355312524949,-0.1936475752381854
2,arrow,-0.5,compat,-0.5,508,-104.87355312524949,-0.5362187487969894
2,gaze,0.5,compat,-0.5,484,-128.8735531252495,-0.6589308109673072
2,arrow,-0.5,incomp,0.5,598,-14.873553125249487,-0.0760485156582975
2,arrow,-0.5,compat,-0.5,548,-64.87355312524949,-0.331698645179793
