pid,stim,compat,rt,acc
2,arrow,compat,1192,1
2,arrow,incomp,1030,1
2,gaze,incomp,631,1
2,arrow,incomp,604,1
2,arrow,compat,504,1
2,arrow,incomp,681,1
2,arrow,incomp,693,1
2,arrow,incomp,534,1
2,arrow,compat,1500,1
2,gaze,compat,1126,1
2,arrow,compat,636,1
2,arrow,incomp,623,1
2,arrow,compat,917,1
2,gaze,incomp,1413,1
2,gaze,incomp,578,1
2,arrow,compat,1159,1
2,gaze,incomp,509,1
2,arrow,incomp,623,1
2,arrow,incomp,635,1
2,gaze,compat,750,1
2,arrow,compat,646,1
2,gaze,incomp,809,1
2,arrow,compat,805,1
2,arrow,incomp,642,1
2,arrow,incomp,557,1
2,gaze,incomp,627,1
2,arrow,compat,447,1
2,gaze,compat,602,1
2,arrow,compat,502,1
2,arrow,compat,480,1
2,gaze,incomp,732,1
2,gaze,compat,420,1
2,gaze,compat,1096,1
2,gaze,compat,633,1
2,gaze,incomp,731,1
2,gaze,compat,691,1
2,gaze,compat,565,1
2,gaze,incomp,1059,1
2,arrow,incomp,421,1
2,gaze,compat,521,1
2,arrow,incomp,514,1
2,gaze,incomp,604,1
2,arrow,compat,503,1
2,gaze,compat,528,1
2,gaze,incomp,488,1
2,arrow,incomp,546,1
2,gaze,incomp,809,1
2,arrow,compat,405,1
2,gaze,compat,570,1
2,arrow,incomp,520,1
2,gaze,compat,528,1
2,gaze,compat,816,1
2,arrow,compat,420,1
2,arrow,compat,575,1
2,gaze,incomp,669,1
2,arrow,incomp,734,1
2,gaze,compat,621,1
2,gaze,compat,769,1
2,gaze,incomp,575,1
2,arrow,compat,508,1
2,gaze,compat,484,1
2,arrow,incomp,598,1
2,arrow,compat,548,1
2,arrow,compat,516,1
2,arrow,incomp,516,1
2,gaze,compat,500,1
2,arrow,compat,958,1
2,gaze,compat,443,1
2,arrow,incomp,673,1
2,arrow,compat,507,1
2,gaze,compat,620,1
2,arrow,compat,424,1
2,arrow,compat,596,1
2,gaze,compat,921,1
2,gaze,compat,609,1
2,gaze,incomp,558,1
2,arrow,incomp,421,1
2,arrow,incomp,625,1
2,gaze,compat,533,1
2,arrow,compat,772,1
2,gaze,incomp,410,1
2,gaze,incomp,726,1
2,gaze,incomp,518,1
2,arrow,incomp,438,1
2,gaze,incomp,713,1
2,gaze,incomp,411,1
2,arrow,incomp,678,1
2,gaze,incomp,1152,1
2,arrow,compat,651,1
2,arrow,incomp,630,1
2,arrow,compat,531,1
2,gaze,incomp,699,1
2,gaze,incomp,643,1
2,gaze,incomp,493,1
2,arrow,compat,582,1
2,arrow,incomp,1444,1
2,gaze,compat,584,1
2,arrow,compat,550,1
2,gaze,incomp,628,1
2,gaze,compat,535,1
2,gaze,incomp,494,1
2,arrow,incomp,591,1
2,arrow,incomp,388,1
2,gaze,incomp,425,1
2,arrow,incomp,437,1
2,arrow,compat,497,1
2,gaze,incomp,554,1
2,arrow,compat,912,1
2,arrow,compat,745,1
2,gaze,incomp,760,1
2,arrow,compat,935,1
2,gaze,compat,606,1
2,gaze,compat,628,1
2,arrow,incomp,719,1
2,arrow,compat,551,1
2,gaze,incomp,549,1
2,gaze,compat,597,1
